borough,count_15,area_adjusted,count_05,count_95,density_15,density_05,density_95
Queens,237812,97.0,236345,205942,2451.6701030927834,2436.546391752577,2123.1134020618556
Brooklyn,169652,69.8,141308,107828,2430.54441260745,2024.4699140401146,1544.813753581662
Staten Island,101443,54.7,98425,73158,1854.5338208409505,1799.3601462522852,1337.4405850091407
Bronx,80585,34.8,58710,43212,2315.66091954023,1687.0689655172416,1241.7241379310346
Manhattan,61495,21.5,49223,41608,2860.232558139535,2289.4418604651164,1935.2558139534883
