zip_code,count_15,area,count_05,count_95,density_15,density_05,density_95
10312,830,7.7,329.0,364.0,107.79220779220779,42.72727272727273,47.27272727272727
11385,675,3.6,223.0,307.0,187.5,61.94444444444444,85.27777777777777
10314,575,13.7,190.0,261.0,41.97080291970803,13.868613138686133,19.05109489051095
10309,544,6.7,131.0,114.0,81.19402985074626,19.55223880597015,17.01492537313433
11434,441,3.2,78.0,261.0,137.8125,24.375,81.5625
11357,432,2.8,99.0,299.0,154.2857142857143,35.35714285714286,106.78571428571429
11234,415,7.5,101.0,243.0,55.333333333333336,13.466666666666667,32.4
10306,414,7.5,113.0,87.0,55.2,15.066666666666666,11.6
11236,408,3.6,63.0,145.0,113.33333333333333,17.5,40.27777777777778
11694,396,1.4,35.0,88.0,282.8571428571429,25.0,62.85714285714286
11235,394,2.2,39.0,169.0,179.09090909090907,17.727272727272727,76.81818181818181
10469,392,2.5,99.0,210.0,156.8,39.6,84.0
11691,356,2.8,87.0,115.0,127.14285714285715,31.071428571428573,41.07142857142858
11208,349,3.4,59.0,134.0,102.64705882352942,17.352941176470587,39.411764705882355
11413,348,3.1,78.0,356.0,112.25806451612902,25.161290322580644,114.83870967741935
11432,343,2.1,101.0,218.0,163.33333333333331,48.095238095238095,103.80952380952381
11207,341,2.7,76.0,201.0,126.29629629629629,28.148148148148145,74.44444444444444
10456,331,1.0,41.0,53.0,331.0,41.0,53.0
11229,324,2.2,34.0,226.0,147.27272727272725,15.454545454545453,102.72727272727272
11364,323,2.5,81.0,162.0,129.2,32.4,64.8
11375,317,2.0,73.0,296.0,158.5,36.5,148.0
10308,310,2.0,77.0,60.0,155.0,38.5,30.0
11365,300,2.5,85.0,216.0,120.0,34.0,86.4
11355,294,1.7,60.0,280.0,172.94117647058823,35.294117647058826,164.7058823529412
11420,294,2.1,100.0,295.0,140.0,47.61904761904762,140.47619047619048
10452,294,1.0,65.0,52.0,294.0,65.0,52.0
10466,285,2.0,50.0,128.0,142.5,25.0,64.0
11210,277,1.6,52.0,276.0,173.125,32.5,172.5
10467,276,2.3,55.0,105.0,120.00000000000001,23.91304347826087,45.652173913043484
11426,275,1.4,55.0,182.0,196.42857142857144,39.285714285714285,130.0
11414,269,2.3,36.0,110.0,116.95652173913044,15.65217391304348,47.82608695652174
11209,265,2.2,50.0,137.0,120.45454545454544,22.727272727272727,62.272727272727266
10457,263,1.1,64.0,54.0,239.09090909090907,58.18181818181818,49.090909090909086
11354,260,2.2,96.0,216.0,118.18181818181817,43.63636363636363,98.18181818181817
10461,256,2.4,59.0,148.0,106.66666666666667,24.583333333333336,61.66666666666667
10301,255,3.7,88.0,115.0,68.91891891891892,23.783783783783782,31.08108108108108
11358,254,1.9,72.0,294.0,133.6842105263158,37.89473684210527,154.73684210526318
11412,249,1.6,47.0,422.0,155.625,29.375,263.75
11435,248,1.5,58.0,211.0,165.33333333333334,38.666666666666664,140.66666666666666
11422,246,2.0,125.0,195.0,123.0,62.5,97.5
11361,243,1.8,64.0,157.0,135.0,35.55555555555556,87.22222222222221
11377,242,2.5,76.0,199.0,96.8,30.4,79.6
11230,237,1.8,52.0,157.0,131.66666666666666,28.88888888888889,87.22222222222221
11223,236,2.1,51.0,88.0,112.38095238095238,24.285714285714285,41.904761904761905
11378,236,2.6,74.0,147.0,90.76923076923076,28.46153846153846,56.53846153846153
11427,235,1.6,43.0,114.0,146.875,26.875,71.25
11220,227,1.8,40.0,109.0,126.11111111111111,22.22222222222222,60.55555555555556
11379,226,2.1,61.0,170.0,107.61904761904762,29.047619047619047,80.95238095238095
11428,223,0.8,26.0,167.0,278.75,32.5,208.75
11368,222,2.6,82.0,124.0,85.38461538461539,31.538461538461537,47.69230769230769
10305,220,4.3,68.0,66.0,51.162790697674424,15.813953488372094,15.348837209302326
11433,219,1.6,50.0,126.0,136.875,31.25,78.75
11203,218,2.1,55.0,248.0,103.80952380952381,26.19047619047619,118.09523809523809
11206,217,1.4,40.0,62.0,155.0,28.571428571428573,44.28571428571429
11215,210,2.2,34.0,112.0,95.45454545454545,15.454545454545453,50.90909090909091
10304,203,3.9,59.0,54.0,52.05128205128205,15.128205128205128,13.846153846153847
11417,203,1.1,60.0,99.0,184.54545454545453,54.54545454545454,89.99999999999999
11219,201,1.5,37.0,163.0,134.0,24.666666666666668,108.66666666666667
11212,198,1.5,56.0,198.0,132.0,37.333333333333336,132.0
11367,194,2.4,70.0,152.0,80.83333333333334,29.166666666666668,63.333333333333336
10458,193,1.0,35.0,95.0,193.0,35.0,95.0
11214,191,2.2,26.0,83.0,86.81818181818181,11.818181818181817,37.72727272727273
11373,190,1.5,94.0,224.0,126.66666666666667,62.666666666666664,149.33333333333334
10462,186,1.5,31.0,78.0,124.0,20.666666666666668,52.0
11218,184,1.4,35.0,94.0,131.42857142857144,25.0,67.14285714285715
11423,184,1.4,55.0,198.0,131.42857142857144,39.285714285714285,141.42857142857144
10451,183,1.0,22.0,24.0,183.0,22.0,24.0
11237,182,1.0,44.0,32.0,182.0,44.0,32.0
10474,182,1.5,31.0,10.0,121.33333333333333,20.666666666666668,6.666666666666667
11429,181,1.3,61.0,212.0,139.23076923076923,46.92307692307692,163.07692307692307
11418,181,1.6,33.0,217.0,113.125,20.625,135.625
10029,181,0.8,33.0,41.0,226.25,41.25,51.25
11419,180,1.1,63.0,287.0,163.63636363636363,57.272727272727266,260.9090909090909
10460,177,1.3,69.0,49.0,136.15384615384616,53.07692307692307,37.69230769230769
11211,177,2.3,44.0,86.0,76.95652173913044,19.1304347826087,37.39130434782609
10453,176,0.9,79.0,63.0,195.55555555555554,87.77777777777777,70.0
11374,175,0.9,36.0,95.0,194.44444444444443,40.0,105.55555555555556
10468,171,1.1,44.0,119.0,155.45454545454544,40.0,108.18181818181817
10463,170,1.4,59.0,96.0,121.42857142857143,42.142857142857146,68.57142857142857
11204,170,1.6,33.0,85.0,106.25,20.625,53.125
11370,169,1.4,23.0,94.0,120.71428571428572,16.42857142857143,67.14285714285715
11226,169,1.3,39.0,186.0,130.0,30.0,143.07692307692307
11411,168,1.2,75.0,199.0,140.0,62.5,165.83333333333334
10303,168,3.1,88.0,25.0,54.193548387096776,28.387096774193548,8.064516129032258
10459,168,0.8,44.0,20.0,210.0,55.0,25.0
11362,166,2.5,41.0,102.0,66.4,16.4,40.8
11231,166,1.4,32.0,36.0,118.57142857142858,22.857142857142858,25.714285714285715
11105,165,1.6,41.0,115.0,103.125,25.625,71.875
11369,165,1.1,58.0,122.0,150.0,52.72727272727272,110.9090909090909
11228,162,1.5,43.0,72.0,108.0,28.666666666666668,48.0
11224,162,1.5,10.0,32.0,108.0,6.666666666666667,21.333333333333332
10465,158,3.4,45.0,95.0,46.470588235294116,13.23529411764706,27.941176470588236
11201,157,1.4,65.0,83.0,112.14285714285715,46.42857142857143,59.28571428571429
11693,156,1.0,27.0,82.0,156.0,27.0,82.0
11213,154,1.1,41.0,96.0,140.0,37.272727272727266,87.27272727272727
11356,153,1.6,35.0,71.0,95.625,21.875,44.375
11221,152,1.4,57.0,113.0,108.57142857142858,40.714285714285715,80.71428571428572
11692,150,1.0,18.0,29.0,150.0,18.0,29.0
10307,149,2.0,47.0,128.0,74.5,23.5,64.0
10027,147,0.9,23.0,83.0,163.33333333333334,25.555555555555554,92.22222222222221
10032,145,0.7,25.0,81.0,207.14285714285717,35.714285714285715,115.71428571428572
10455,144,0.7,33.0,5.0,205.71428571428572,47.142857142857146,7.142857142857143
11233,143,1.3,26.0,132.0,110.0,20.0,101.53846153846153
11101,142,2.6,44.0,80.0,54.61538461538461,16.923076923076923,30.769230769230766
10035,141,1.4,19.0,57.0,100.71428571428572,13.571428571428573,40.714285714285715
11421,140,1.3,43.0,105.0,107.6923076923077,33.07692307692307,80.76923076923076
11372,140,0.7,50.0,216.0,200.0,71.42857142857143,308.5714285714286
10310,135,1.8,25.0,59.0,75.0,13.88888888888889,32.77777777777778
10473,133,2.2,51.0,86.0,60.454545454545446,23.18181818181818,39.090909090909086
11436,132,0.8,41.0,126.0,165.0,51.25,157.5
10031,131,0.7,43.0,79.0,187.14285714285717,61.42857142857143,112.85714285714286
10472,129,1.1,28.0,69.0,117.27272727272727,25.454545454545453,62.72727272727272
