zip_code,count_15,area,count_05,count_95,density_15,density_05,density_95
10312,21356,7.7,22629.0,17255.0,2773.5064935064934,2938.8311688311687,2240.909090909091
10314,16330,13.7,15083.0,12072.0,1191.9708029197081,1100.948905109489,881.1678832116788
10306,12616,7.5,11280.0,9986.0,1682.1333333333334,1504.0,1331.4666666666667
10309,12106,6.7,11805.0,7767.0,1806.865671641791,1761.9402985074626,1159.2537313432836
11234,10838,7.5,10432.0,8042.0,1445.0666666666666,1390.9333333333334,1072.2666666666667
11385,10262,3.6,10124.0,8974.0,2850.5555555555557,2812.222222222222,2492.777777777778
11357,9017,2.8,10247.0,7630.0,3220.357142857143,3659.6428571428573,2725.0
11207,8293,2.7,4559.0,3399.0,3071.4814814814813,1688.5185185185185,1258.888888888889
11208,7896,3.4,2733.0,2459.0,2322.3529411764707,803.8235294117648,723.2352941176471
11434,7833,3.2,6627.0,5458.0,2447.8125,2070.9375,1705.625
11365,7128,2.5,7720.0,6354.0,2851.2,3088.0,2541.6
11413,7122,3.1,5656.0,5782.0,2297.4193548387098,1824.516129032258,1865.1612903225805
11230,7099,1.8,7120.0,6027.0,3943.8888888888887,3955.5555555555557,3348.333333333333
10308,6806,2.0,6361.0,4798.0,3403.0,3180.5,2399.0
11375,6742,2.0,7641.0,5840.0,3371.0,3820.5,2920.0
11364,6731,2.5,6783.0,5754.0,2692.4,2713.2,2301.6
11358,6674,1.9,7337.0,6118.0,3512.631578947369,3861.5789473684213,3220.0
10305,6635,4.3,6686.0,4432.0,1543.0232558139535,1554.8837209302326,1030.6976744186047
11432,6615,2.1,5760.0,3682.0,3150.0,2742.8571428571427,1753.3333333333333
11236,6451,3.6,7281.0,6140.0,1791.9444444444443,2022.5,1705.5555555555554
10469,6318,2.5,6317.0,5231.0,2527.2,2526.8,2092.4
11215,6150,2.2,5223.0,3997.0,2795.454545454545,2374.090909090909,1816.8181818181818
11422,6078,2.0,5877.0,5460.0,3039.0,2938.5,2730.0
11361,5938,1.8,6238.0,4136.0,3298.8888888888887,3465.5555555555557,2297.777777777778
11209,5936,2.2,5768.0,4848.0,2698.181818181818,2621.8181818181815,2203.6363636363635
10301,5779,3.7,6099.0,3973.0,1561.8918918918919,1648.3783783783783,1073.7837837837837
11229,5775,2.2,5489.0,4861.0,2625.0,2495.0,2209.5454545454545
11223,5745,2.1,4840.0,3375.0,2735.714285714286,2304.7619047619046,1607.142857142857
10304,5652,3.9,5549.0,3343.0,1449.2307692307693,1422.820512820513,857.1794871794872
11354,5564,2.2,5137.0,4089.0,2529.090909090909,2335.0,1858.6363636363635
11377,5409,2.5,5590.0,3879.0,2163.6,2236.0,1551.6
10461,5380,2.4,4214.0,3544.0,2241.666666666667,1755.8333333333335,1476.6666666666667
11691,5362,2.8,3523.0,2050.0,1915.0000000000002,1258.2142857142858,732.1428571428572
10307,5302,2.0,5454.0,3594.0,2651.0,2727.0,1797.0
11420,5200,2.1,6153.0,5114.0,2476.190476190476,2930.0,2435.238095238095
11210,5175,1.6,4958.0,3808.0,3234.375,3098.75,2380.0
11367,5027,2.4,4535.0,3893.0,2094.5833333333335,1889.5833333333335,1622.0833333333335
10465,5025,3.4,4286.0,3325.0,1477.9411764705883,1260.5882352941176,977.9411764705883
11355,4993,1.7,5083.0,4205.0,2937.0588235294117,2990.0,2473.529411764706
11221,4946,1.4,3344.0,2016.0,3532.857142857143,2388.571428571429,1440.0
11203,4923,2.1,4356.0,3699.0,2344.285714285714,2074.285714285714,1761.4285714285713
11426,4846,1.4,4855.0,4127.0,3461.4285714285716,3467.857142857143,2947.857142857143
10466,4803,2.0,4332.0,3576.0,2401.5,2166.0,1788.0
11235,4763,2.2,5381.0,4907.0,2165.0,2445.9090909090905,2230.4545454545455
11218,4684,1.4,4553.0,3056.0,3345.714285714286,3252.1428571428573,2182.857142857143
11379,4667,2.1,5090.0,4301.0,2222.3809523809523,2423.809523809524,2048.095238095238
11233,4589,1.3,2505.0,1856.0,3530.0,1926.923076923077,1427.6923076923076
11204,4561,1.6,4033.0,3406.0,2850.625,2520.625,2128.75
11220,4450,1.8,3579.0,2648.0,2472.222222222222,1988.3333333333333,1471.111111111111
11412,4448,1.6,3275.0,4441.0,2780.0,2046.875,2775.625
11414,4381,2.3,4382.0,3801.0,1904.7826086956522,1905.217391304348,1652.608695652174
11201,4357,1.4,4730.0,2814.0,3112.1428571428573,3378.571428571429,2010.0000000000002
11435,4347,1.5,4162.0,3881.0,2898.0,2774.6666666666665,2587.3333333333335
11362,4263,2.5,4054.0,3015.0,1705.2,1621.6,1206.0
11219,4262,1.5,3899.0,3230.0,2841.3333333333335,2599.3333333333335,2153.3333333333335
10473,4236,2.2,2650.0,1887.0,1925.4545454545453,1204.5454545454545,857.7272727272726
11214,4150,2.2,3387.0,3018.0,1886.3636363636363,1539.5454545454545,1371.8181818181818
11427,4142,1.6,4489.0,3284.0,2588.75,2805.625,2052.5
11368,4124,2.6,3284.0,2398.0,1586.1538461538462,1263.076923076923,922.3076923076923
10467,4079,2.3,3668.0,1949.0,1773.4782608695652,1594.7826086956522,847.3913043478261
10462,4048,1.5,2504.0,1991.0,2698.6666666666665,1669.3333333333333,1327.3333333333333
11373,4014,1.5,4605.0,3781.0,2676.0,3070.0,2520.6666666666665
11212,4007,1.5,3107.0,2692.0,2671.3333333333335,2071.3333333333335,1794.6666666666667
11004,4005,1.0,4659.0,3779.0,4005.0,4659.0,3779.0
11211,3966,2.3,4272.0,1893.0,1724.3478260869567,1857.3913043478262,823.0434782608696
10457,3912,1.1,1878.0,1086.0,3556.363636363636,1707.272727272727,987.2727272727271
11206,3851,1.4,2689.0,804.0,2750.714285714286,1920.7142857142858,574.2857142857143
11378,3797,2.6,3860.0,4018.0,1460.3846153846152,1484.6153846153845,1545.3846153846152
11105,3760,1.6,3225.0,2880.0,2350.0,2015.625,1800.0
10456,3754,1.0,1571.0,994.0,3754.0,1571.0,994.0
11238,3743,1.1,2425.0,1918.0,3402.7272727272725,2204.5454545454545,1743.6363636363635
11226,3706,1.3,3113.0,3512.0,2850.7692307692305,2394.6153846153848,2701.5384615384614
11228,3623,1.5,3635.0,3028.0,2415.3333333333335,2423.3333333333335,2018.6666666666667
11222,3583,1.5,2813.0,1202.0,2388.6666666666665,1875.3333333333333,801.3333333333334
10025,3570,0.8,3227.0,2583.0,4462.5,4033.75,3228.75
10463,3553,1.4,3340.0,2310.0,2537.857142857143,2385.714285714286,1650.0
11433,3538,1.6,2626.0,2296.0,2211.25,1641.25,1435.0
11213,3498,1.1,3144.0,2008.0,3179.9999999999995,2858.181818181818,1825.4545454545453
11231,3494,1.4,2887.0,1979.0,2495.714285714286,2062.1428571428573,1413.5714285714287
10310,3494,1.8,2924.0,2405.0,1941.111111111111,1624.4444444444443,1336.111111111111
11417,3463,1.1,3658.0,3478.0,3148.181818181818,3325.454545454545,3161.8181818181815
11216,3430,0.9,2040.0,1959.0,3811.111111111111,2266.6666666666665,2176.6666666666665
11423,3407,1.4,2919.0,2736.0,2433.571428571429,2085.0,1954.2857142857144
10472,3301,1.1,2098.0,2154.0,3000.9090909090905,1907.272727272727,1958.181818181818
11101,3245,2.6,2267.0,1792.0,1248.076923076923,871.9230769230769,689.2307692307692
10024,3231,0.9,2824.0,2165.0,3590.0,3137.777777777778,2405.5555555555557
10458,3212,1.0,1516.0,1416.0,3212.0,1516.0,1416.0
11418,3210,1.6,2703.0,3128.0,2006.25,1689.375,1955.0
11694,3176,1.4,3475.0,2692.0,2268.571428571429,2482.1428571428573,1922.857142857143
11217,3155,0.8,3809.0,2450.0,3943.75,4761.25,3062.5
11372,3155,0.7,3473.0,3235.0,4507.142857142858,4961.428571428572,4621.428571428572
11370,3139,1.4,3110.0,2794.0,2242.1428571428573,2221.4285714285716,1995.7142857142858
11369,3131,1.1,2848.0,2764.0,2846.363636363636,2589.090909090909,2512.7272727272725
10460,3084,1.3,1814.0,1033.0,2372.3076923076924,1395.3846153846152,794.6153846153846
10303,3070,3.1,2102.0,1336.0,990.3225806451612,678.0645161290322,430.96774193548384
11411,3061,1.2,3021.0,3127.0,2550.8333333333335,2517.5,2605.8333333333335
10452,3026,1.0,1587.0,907.0,3026.0,1587.0,907.0
11356,2946,1.6,2383.0,1937.0,1841.25,1489.375,1210.625
11366,2922,1.1,2941.0,2877.0,2656.363636363636,2673.6363636363635,2615.454545454545
10459,2910,0.8,1595.0,656.0,3637.5,1993.75,820.0
11374,2909,0.9,2655.0,2296.0,3232.222222222222,2950.0,2551.111111111111
10453,2874,0.9,1773.0,1115.0,3193.333333333333,1970.0,1238.888888888889
10027,2852,0.9,1967.0,1256.0,3168.8888888888887,2185.5555555555557,1395.5555555555554
10468,2819,1.1,1951.0,1720.0,2562.7272727272725,1773.6363636363635,1563.6363636363635
11225,2791,0.9,2993.0,1580.0,3101.111111111111,3325.5555555555557,1755.5555555555554
11237,2766,1.0,1310.0,680.0,2766.0,1310.0,680.0
11363,2732,0.9,2878.0,1280.0,3035.5555555555557,3197.777777777778,1422.2222222222222
11429,2731,1.3,2562.0,2661.0,2100.7692307692305,1970.7692307692307,2046.923076923077
11421,2715,1.3,3159.0,3623.0,2088.4615384615386,2430.0,2786.9230769230767
11419,2625,1.1,2486.0,3286.0,2386.363636363636,2260.0,2987.272727272727
11428,2615,0.8,2562.0,2432.0,3268.75,3202.5,3040.0
11205,2524,0.9,1531.0,1572.0,2804.4444444444443,1701.111111111111,1746.6666666666665
10014,2503,0.6,2031.0,2036.0,4171.666666666667,3385.0,3393.3333333333335
10474,2462,1.5,714.0,188.0,1641.3333333333333,476.0,125.33333333333333
10031,2456,0.7,1702.0,1203.0,3508.571428571429,2431.4285714285716,1718.5714285714287
11360,2395,1.4,3187.0,2139.0,1710.7142857142858,2276.4285714285716,1527.857142857143
10302,2297,1.2,1596.0,1256.0,1914.1666666666667,1330.0,1046.6666666666667
11436,2275,0.8,2257.0,2194.0,2843.75,2821.25,2742.5
10451,2267,1.0,786.0,716.0,2267.0,786.0,716.0
11103,2251,0.7,1371.0,1360.0,3215.714285714286,1958.5714285714287,1942.857142857143
10029,2242,0.8,1443.0,903.0,2802.5,1803.75,1128.75
10023,2203,0.5,2229.0,1736.0,4406.0,4458.0,3472.0
10002,2158,0.9,1040.0,726.0,2397.777777777778,1155.5555555555554,806.6666666666666
10032,2072,0.7,1225.0,1029.0,2960.0,1750.0,1470.0
10011,2040,0.7,1905.0,1684.0,2914.2857142857147,2721.4285714285716,2405.714285714286
10128,2034,0.5,1963.0,2261.0,4068.0,3926.0,4522.0
11232,1997,1.3,729.0,389.0,1536.1538461538462,560.7692307692307,299.2307692307692
10003,1943,0.6,1831.0,2025.0,3238.3333333333335,3051.666666666667,3375.0
10455,1900,0.7,942.0,426.0,2714.2857142857147,1345.7142857142858,608.5714285714286
10021,1885,0.4,2234.0,2071.0,4712.5,5585.0,5177.5
11106,1873,0.9,1721.0,2004.0,2081.111111111111,1912.2222222222222,2226.6666666666665
10035,1869,1.4,1344.0,746.0,1335.0,960.0000000000001,532.8571428571429
11692,1863,1.0,736.0,432.0,1863.0,736.0,432.0
10009,1854,0.6,1515.0,1283.0,3090.0,2525.0,2138.3333333333335
10033,1852,0.6,1108.0,909.0,3086.666666666667,1846.6666666666667,1515.0
10065,1831,0.4,1434.0,1597.0,4577.5,3585.0,3992.5
10471,1804,2.6,3118.0,2350.0,693.8461538461538,1199.2307692307693,903.8461538461538
10475,1796,1.7,1854.0,912.0,1056.4705882352941,1090.5882352941176,536.4705882352941
11224,1787,1.5,1580.0,579.0,1191.3333333333333,1053.3333333333333,386.0
10016,1785,0.5,1536.0,1586.0,3570.0,3072.0,3172.0
10026,1769,0.3,1378.0,595.0,5896.666666666667,4593.333333333334,1983.3333333333335
11249,1742,0.7,,679.0,2488.571428571429,,970.0000000000001
10028,1715,0.3,1679.0,1488.0,5716.666666666667,5596.666666666667,4960.0
11416,1710,0.7,2056.0,2054.0,2442.857142857143,2937.1428571428573,2934.2857142857147
11415,1666,0.6,1512.0,1892.0,2776.666666666667,2520.0,3153.3333333333335
10454,1659,1.0,658.0,442.0,1659.0,658.0,442.0
11102,1658,0.8,1315.0,1300.0,2072.5,1643.75,1625.0
10019,1619,0.7,1356.0,1216.0,2312.857142857143,1937.1428571428573,1737.1428571428573
11104,1615,0.4,1861.0,1506.0,4037.5,4652.5,3765.0
10022,1574,0.4,1721.0,1954.0,3935.0,4302.5,4885.0
10034,1506,1.1,751.0,731.0,1369.090909090909,682.7272727272726,664.5454545454545
10040,1451,0.4,603.0,521.0,3627.5,1507.5,1302.5
10470,1325,1.4,1350.0,1290.0,946.4285714285714,964.2857142857143,921.4285714285714
10030,1313,0.3,914.0,745.0,4376.666666666667,3046.666666666667,2483.3333333333335
11001,1286,2.2,1481.0,1369.0,584.5454545454545,673.1818181818181,622.2727272727273
10013,1132,0.6,934.0,543.0,1886.6666666666667,1556.6666666666667,905.0
10464,1038,3.5,1125.0,783.0,296.57142857142856,321.42857142857144,223.71428571428572
10012,1030,0.3,744.0,623.0,3433.3333333333335,2480.0,2076.666666666667
11693,1013,1.0,699.0,436.0,1013.0,699.0,436.0
11239,953,0.6,172.0,29.0,1588.3333333333335,286.6666666666667,48.333333333333336
10075,871,0.2,803.0,809.0,4355.0,4015.0,4045.0
10001,850,0.6,760.0,747.0,1416.6666666666667,1266.6666666666667,1245.0
10010,841,0.4,655.0,700.0,2102.5,1637.5,1750.0
11040,840,4.8,895.0,715.0,175.0,186.45833333333334,148.95833333333334
10036,823,0.4,812.0,752.0,2057.5,2030.0,1880.0
10017,812,0.3,745.0,1035.0,2706.666666666667,2483.3333333333335,3450.0
10039,772,0.5,406.0,255.0,1544.0,812.0,510.0
10037,659,0.3,436.0,316.0,2196.666666666667,1453.3333333333335,1053.3333333333335
10280,476,0.1,251.0,11.0,4760.0,2510.0,110.0
10018,441,0.3,195.0,173.0,1470.0,650.0,576.6666666666667
10038,356,0.3,204.0,287.0,1186.6666666666667,680.0,956.6666666666667
10007,349,0.2,391.0,217.0,1745.0,1955.0,1085.0
10282,230,0.1,,,2300.0,,
10005,130,0.1,130.0,77.0,1300.0,1300.0,770.0
10004,117,0.6,70.0,133.0,195.0,116.66666666666667,221.66666666666669
10069,112,0.1,,1.0,1120.0,,10.0
10020,94,0.03,109.0,34.0,3133.3333333333335,3633.3333333333335,1133.3333333333335
11109,90,0.04,,,2250.0,,
10006,48,0.1,121.0,86.0,480.0,1210.0,860.0
11430,37,7.1,64.0,16.0,5.211267605633803,9.014084507042254,2.2535211267605635
10111,25,0.004,,25.0,6250.0,,6250.0
11697,24,2.2,47.0,6.0,10.909090909090908,21.363636363636363,2.727272727272727
