borough,count_15,area,area_adjusted,count_05,count_95,density_15,density_05,density_95
Queens,237812,109.0,97.0,236345,209558,2451.6701030927834,2436.546391752577,2160.3917525773195
Brooklyn,169652,71.0,69.8,141308,109551,2430.54441260745,2024.4699140401146,1569.4985673352437
Staten Island,101443,58.5,54.7,98425,73653,1854.5338208409505,1799.3601462522852,1346.489945155393
Bronx,80585,42.0,34.8,58710,45949,2315.66091954023,1687.0689655172416,1320.373563218391
Manhattan,61495,22.8,21.5,49223,43700,2860.232558139535,2289.4418604651164,2032.5581395348838
